Raman Shift (cm-1),E10_a,E50_a,EM2_b,Ethanol,EM3_a,EM6_b,EM4_a,EM3_b,EM1_b,E70_a,Methanol,EM1_a,E40_a,EM2_a,E80_a,E30_a,EM8_b,E5_a,E90_a,EM6_a,EM9_a,EM4_b,EM9_b,EM5_a,EMX,EMX_b
790.8,-11.183,-109.917,516.294,337.55,990.378,778.928,914.211,642.861,194.761,-17.917,297.389,544.011,51.25,1072.578,36.858,-80.65,1048.928,57.517,-173.117,1321.478,1556.344,596.961,898.461,1028.878,1925.311,1931.661
803.8,-28.033,-95.067,505.378,330.841,952.889,707.611,930.711,643.411,175.144,37.2,303.372,543.622,85.833,1057.856,25.8,-97.467,1119.444,32.9,-165.967,1316.778,1563.011,571.611,835.111,989.578,1888.844,1931.578
816.7,-11.183,-82.617,550.178,331.071,936.656,749.578,863.778,629.144,200.878,3.85,306.886,535.889,46.583,1024.322,43.425,-76.383,1070.611,56.117,-110.65,1329.778,1517.078,581.944,839.578,1002.744,1879.811,1844.578
829.6,-36.775,-112.408,503.461,318.553,929.222,741.394,854.056,590.228,125.394,-13.742,309.447,521.489,52.392,992.756,38.953,-64.075,1060.461,30.258,-122.408,1246.122,1456.556,560.094,849.994,963.256,1759.289,1810.494
842.4,-19.175,-42.275,480.083,348.125,964.1,695.35,891.544,592.317,123.817,12.825,261.505,478.267,56.558,1016.0,54.783,-73.942,1008.783,65.525,-47.175,1267.744,1515.278,562.817,794.15,1007.244,1836.311,1750.15
855.2,-57.3,-168.433,508.594,320.48,912.644,664.461,825.722,605.061,134.061,-21.267,330.373,478.611,17.933,965.744,28.477,-101.433,1051.894,22.767,-141.167,1240.456,1448.789,555.228,777.161,947.022,1727.856,1742.128
868.1,-9.592,-103.492,447.2,353.319,920.8,697.333,907.711,572.467,155.533,-8.025,290.694,493.3,50.542,1007.067,23.577,-64.858,977.767,26.775,-134.292,1217.511,1445.011,559.467,817.533,973.911,1787.511,1722.3
880.8,-28.442,-112.642,437.272,346.7,931.344,698.639,873.744,556.506,129.306,-36.275,303.153,526.978,13.325,1018.711,37.479,-65.475,970.372,40.392,-139.708,1256.144,1494.078,544.206,777.372,935.378,1811.678,1759.106
893.6,-26.183,-67.45,459.106,335.155,930.3,653.339,876.867,590.506,144.639,-10.883,305.281,493.767,25.917,983.2,44.012,-61.283,1022.239,61.05,-110.817,1209.433,1462.933,519.439,805.072,960.267,1816.133,1765.772
906.4,-12.958,-87.125,441.889,349.527,912.778,651.189,904.633,589.589,112.489,17.442,291.592,497.911,18.442,967.978,44.964,-58.325,971.322,16.675,-128.658,1223.133,1454.867,514.222,758.922,979.8,1782.133,1728.289
919.1,3.858,-52.175,488.378,344.49,933.256,693.111,846.133,539.711,124.311,20.825,297.874,506.989,23.392,986.922,26.649,-60.075,971.578,54.992,-71.542,1234.2,1437.767,521.644,764.778,952.1,1800.733,1775.711
931.8,-46.108,-94.308,441.117,339.975,933.044,658.583,868.333,564.417,118.617,-15.475,276.888,532.544,6.092,1006.011,34.863,-67.575,958.517,32.458,-113.442,1232.167,1428.033,511.617,753.883,951.767,1772.7,1723.983
944.4,3.808,-78.958,447.856,339.53,921.489,618.056,852.067,531.589,83.389,12.575,262.334,529.256,41.942,980.889,48.457,0.442,962.222,28.042,-104.258,1221.833,1491.933,512.222,776.322,956.333,1830.333,1703.889
957.1,-32.042,-83.242,431.617,319.863,872.756,641.65,883.244,523.717,82.317,41.358,290.38,494.422,65.758,955.556,50.039,-74.542,930.983,6.425,-100.675,1195.511,1394.444,494.483,728.35,978.011,1765.244,1716.983
969.7,-45.858,-78.792,424.367,343.405,874.822,635.833,818.467,507.4,106.733,14.175,312.477,500.122,20.975,1005.756,33.951,-83.525,955.867,54.642,-65.892,1194.233,1385.967,492.267,730.367,916.733,1774.1,1723.967
982.3,-31.5,-40.633,379.822,347.963,888.489,650.189,863.478,518.956,81.689,48.633,301.231,521.822,48.0,1001.289,37.963,-70.433,899.922,44.967,-36.1,1173.578,1414.844,491.622,746.656,883.544,1853.111,1690.622
994.9,-6.442,-74.342,435.267,388.81,993.4,608.833,925.144,555.1,101.433,3.992,268.262,552.333,77.392,1049.867,28.939,-69.975,936.5,78.658,-51.475,1227.578,1467.544,496.767,715.267,945.478,2047.144,1737.567
1007.5,-34.858,-11.092,508.928,424.83,1120.844,614.461,1010.2,546.994,169.328,29.375,294.619,674.844,53.442,1136.311,35.678,-50.092,931.894,14.575,-1.058,1300.8,1567.767,548.861,720.894,1035.733,3112.6,2214.828
1020.0,-53.35,-60.183,468.55,468.318,1108.044,669.883,1066.744,601.417,201.183,51.15,272.938,714.344,78.417,1193.211,45.865,-71.783,966.75,24.05,46.117,1372.311,1556.244,596.383,788.517,1095.011,5924.078,3901.85
1032.5,-16.675,-14.708,506.006,486.68,1126.722,675.339,1052.333,609.539,176.772,97.158,291.162,729.589,118.592,1194.556,36.739,-31.842,938.372,18.292,85.925,1326.967,1468.567,596.906,744.272,1029.4,4266.6,3392.739
1045.0,-10.108,66.392,586.372,553.72,1321.511,672.572,1164.567,675.906,244.972,131.125,261.234,861.844,191.325,1326.244,64.786,-4.908,989.239,88.592,228.958,1454.533,1604.8,634.772,728.506,1169.4,2374.7,2014.639
1057.5,38.033,279.4,688.878,763.817,1553.133,726.044,1347.7,829.444,479.378,338.333,277.903,1065.467,341.933,1663.1,78.453,115.533,924.711,84.533,540.467,1567.0,1582.7,761.111,764.678,1362.167,2248.1,1870.678
1070.0,215.492,1288.792,1497.644,1693.873,3265.867,1143.844,2596.589,1732.444,1544.244,1332.725,297.917,2697.033,1356.725,3546.767,226.206,763.892,1184.544,159.958,2261.592,2405.489,1672.656,1400.044,854.278,2343.689,2872.856,2192.411
1082.4,608.375,3294.342,3891.661,5131.338,7125.367,2440.028,5445.811,4347.361,4669.361,3217.308,321.068,6403.8,3104.142,7950.4,593.654,1823.808,1846.428,286.508,7111.275,4383.611,2107.478,3407.794,1254.328,4570.611,4370.244,3330.061
1094.8,375.242,2340.108,3599.667,5633.825,5419.189,2107.367,4176.489,3952.567,4341.1,2313.775,274.206,4947.722,2077.608,6158.089,480.828,1201.642,1677.1,235.675,6472.175,3466.156,1959.622,2991.133,1193.267,3529.256,3683.222,3048.467
1107.2,70.208,581.375,1356.833,2088.096,2153.667,1004.467,1709.978,1481.167,1312.7,656.175,298.686,1750.567,591.208,2332.267,168.214,298.642,1085.133,81.008,1856.975,1815.311,1616.944,1196.667,819.067,1649.044,2335.044,2032.633
1119.5,-10.092,138.375,641.428,828.326,1264.344,666.528,1155.233,776.361,440.194,203.342,317.08,925.978,241.775,1416.478,65.354,21.708,961.794,61.808,481.308,1399.1,1458.0,677.394,767.094,1161.6,2143.867,1774.361
1131.9,-10.4,61.833,496.783,585.605,1079.811,634.917,999.056,632.75,222.283,115.333,331.092,683.944,142.267,1231.578,62.797,20.667,886.917,73.967,250.667,1352.389,1494.156,567.117,721.417,1016.389,2329.689,1895.383
1144.2,-64.117,4.417,453.706,502.275,1110.378,621.172,936.433,554.139,171.706,79.217,335.557,697.211,63.717,1134.711,49.962,-15.283,892.806,65.483,136.883,1274.567,1508.167,548.139,772.572,983.367,2654.2,2099.639
1156.5,-43.9,1.4,466.778,454.642,1022.333,623.944,909.356,550.178,143.278,69.333,374.816,591.533,94.733,1074.733,37.027,-42.033,875.644,57.567,98.967,1252.089,1512.689,507.044,737.678,1017.156,2565.856,2100.278
1168.8,-84.283,-27.15,439.956,452.058,1049.878,667.922,990.278,597.756,163.822,35.183,408.594,612.911,53.117,1073.278,43.855,-48.65,956.656,11.483,79.417,1337.311,1556.878,562.522,829.356,1079.178,2082.278,1773.689
1181.0,-81.6,-15.667,441.633,462.378,1093.578,667.733,1030.611,555.667,155.5,50.033,522.94,604.944,45.533,1144.578,49.043,-59.233,1045.433,48.733,81.267,1407.244,1671.011,599.033,934.8,1119.511,1875.444,1647.933
1193.3,-17.15,26.617,567.794,472.146,1310.556,775.028,1169.033,668.628,240.028,101.45,680.342,787.989,84.95,1329.922,51.518,-24.783,1171.828,44.95,183.783,1611.167,1957.533,649.661,1119.628,1309.833,1975.033,1640.161
1205.5,8.175,3.042,709.733,589.17,1669.167,1113.233,1637.4,905.167,412.833,163.642,1146.149,876.933,182.808,1579.967,53.961,19.542,1650.133,22.775,265.742,2297.133,2880.367,912.3,1813.267,1811.9,2365.367,1848.667
1217.7,-32.983,133.683,1109.422,679.257,2806.733,2101.722,2815.722,1573.589,724.556,224.117,2660.126,1317.833,229.083,2377.467,78.138,83.55,2952.022,56.483,442.45,4065.856,5210.022,1638.389,3596.989,3250.956,3171.489,2411.722
1229.8,53.45,472.617,1892.95,1056.88,4510.033,3580.717,4533.978,2765.983,1381.317,520.417,5067.678,2129.5,526.717,3771.9,130.298,237.95,4804.383,85.517,1025.683,6374.044,8070.278,2840.417,6234.35,5208.511,4203.444,3142.917
