Raman Shift (cm-1),EM5_a,EM6_a,Methanol,E60_a,E5_a,E50_a,E30_a,EM1_a,EM8_a,E90_a,Ethanol,EM3_a,E40_a,E20_a,EM2_a,EM9_a,EMX
500.4,0.0024340216361749714,0.0025687732008266673,0.0003929082616018452,0.0020456578854255755,0.02304177825107733,0.002872961375777426,0.008993797201719288,0.0020543903546101847,0.006120765350536856,0.0011827911229235302,0.002013303128358834,0.0024560768650725225,0.0014107608620744626,0.006007056632031419,0.0035521229283819442,0.004365817413778574,0.004223326144726736
513.9,0.001151625374671178,0.0021014329688694793,0.0009828560443630593,0.005073705351901474,0.06124390909696175,0.004645277068675246,0.011331287602850793,0.002836286000354376,0.005426394713058754,0.0033263113082572806,0.001530345323716144,0.00284207392682948,0.0036716134764356047,0.014952251857758211,0.002343431474172888,0.003230628226404602,0.004196897207410593
527.3,0.000857252638504732,0.0014515798943135366,0.00010385061646370371,0.0005912641830587058,0.0,0.002108268388554594,0.004991044429274579,0.0034077690326865633,0.006328744554325103,0.0015408268011487451,0.003588844721924967,0.002753366038415236,0.0,0.0,0.0034059364453870294,0.005116216728245405,0.005941372031081945
540.7,0.005680878588239859,0.003912839295698486,0.0,0.004932538340046039,0.025576904593655435,0.0,0.00764254000732896,0.0031198097347727694,0.004469884507209231,0.001177193674335113,0.003271783333231096,0.004809115908497805,0.0039627955783863465,0.01990813937807755,0.0032249223233675574,0.004921056521400236,0.005428409633366216
554.1,0.001418110103558169,0.0017426854205726111,0.0018464104381771776,0.0014057308532558896,0.012371390224039618,0.00590139003449212,0.005519776404692495,0.0009269733857318582,0.004633370710872719,0.001544363566642228,0.001512377323199819,0.002238601891886515,0.002509836444134491,0.012240936267877022,0.0024613671326144185,0.0024934528692916887,0.0037600086504381526
567.5,0.005327092394366135,0.005151324778687283,0.0019842788713044903,0.0,0.011885905950053278,0.002349839877788482,0.005773050168025498,0.0013594604970093521,0.006586060642754984,0.002527974757842641,0.001800031528060437,0.004245779069727309,0.0009874059390026918,0.008123563054455551,0.0032253333522831626,0.00610740459561184,0.006376557948845879
580.8,0.005900434332873292,0.0063250811883685636,0.0007293105528702082,0.0046079151628138516,0.028637910070812237,0.004794851963983964,0.01067917658451268,0.0038557554562637275,0.00952812621968907,0.0029614487419065308,0.0036796328740147572,0.006777868182478029,0.00464182385601759,0.013989198907006836,0.006862132485086831,0.009915102753031653,0.011276881236222003
594.1,0.011273915291272073,0.011646148150792148,0.0027792100390063674,0.0021200644616539517,0.02056438678717732,0.006846537299546017,0.009120018948690287,0.00852878933455699,0.014761104533512997,0.0033547474373411394,0.00561542584154377,0.010104755527275484,0.0050214018604116525,0.004911407082508781,0.009543973826412876,0.014322905596984405,0.017423950870493917
607.4,0.02508167988864448,0.02708996255603323,0.006824454846187724,0.00466936644784714,0.035058024955696085,0.003750386477070323,0.007373939731939685,0.019883943723042946,0.032598555359752424,0.0,0.011207636081564639,0.021593337436941615,0.009601804783545049,0.013664496438274262,0.02395253242496445,0.030773117787037615,0.03710561077876771
620.7,0.037717342581083654,0.04111472561981152,0.01482415577522636,0.006266934436062787,0.029716931270068317,0.005014818725398626,0.0,0.02953072909802119,0.044549952573405556,0.0036332049081982533,0.020120620492205362,0.03323736716459047,0.014146028847525553,0.0036488645801035736,0.034252586449638814,0.04321750098852654,0.05196927955810156
